Row #,NMFS Tracking Number,TITLE,Consultation Type,Status,Profile,Discussion Start Date,Date Request for Consultation Received,Consultation Initiation Date,Estimated Response Date,NMFS Response Date,More Information Requested Below,Mutually Agreed Extension Date,Date of Draft Release of Biological Opinion,Lead Federal Action Agency,Line Office,Common Name,Population Name,Listing Status,Action Agency Proposed Effect Determination (Species),NMFS Final Determination (Species),Action Agency Proposed Effect Determination (Critical Habitat),NMFS Final Determination (Critical Habitat),Reason Consultation Ended,Reason Early Coordination Ended,NMFS Conclusion Regarding Impacts to Fish Habitat,State,County,Latitude,Longitude,Datum,Activity Location,HUC_NUMBER,COMMENTS,NMFS Lead Region,NMFS Office,NMFS Division,NMFS State Office,Branch Team,NMFS Project Lead
76,830006,OCS SAND & GRAVEL LEASE,Formal,Completed,"ESA-S7, Formal",,"Apr 21, 1983 12:00:00 AM",,,1983-04-21,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BEAUFORT SEA,,,AKR,,,,,P Carter
77,830007,ST. MATTHEW LAND EXCHANGE,Formal,Completed,"ESA-S7, Formal",,"May 4, 1983 12:00:00 AM",,,1983-05-04,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"ST MATTHEW ISLAND, BERING SEA",,,AKR,,,,,P Carter
78,830009,REGULATION OF VESSEL USE - GLACIER BAY,Formal,,"ESA-S7, Formal",,,,,1983-06-22,,,,,,"Whale, humpback",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GLACIER BAY NATIONAL PARK,,,AKR,,,,,C Karnella
79,830010,Issuance of Research Permit #273B to Observe Bowhead,Formal,Completed,"ESA-S7, Formal",,,,,1983-07-01,,,,,,"Whale, bowhead",Western Arctic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Canadian Beaufort Sea,,,FPR,"Silver Spring, MD",,,,"Carter, P."
80,830011,Issuance of Research Permit #323 to Biopsy & Study Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1983-07-15,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Southeast Alaskan Waters,,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
81,830013,Issuance of a Research Permit # 326 on Totoaba,Formal,Completed,"ESA-S7, Formal",,,,,1983-08-19,,,,,,Totoaba,Gulf of California,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Gulf of California,,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
82,830014,Issuance of Research Permit #293A to Photogarph Endangered Whales,Formal,Completed,"ESA-S7, Formal",,,,,1983-09-06,,,,,,"Whale, sei",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Antarctic Waters,,,FPR,"Silver Spring, MD",,,,"Karnella, Charles"
83,830015,OCS OIL & GAS LEASING,Formal,Completed,"ESA-S7, Formal",,"Sep 8, 1983 12:00:00 AM",,,1983-09-08,,,,,,,,,May Affect - Likely to Adversely Affect,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,NORTH ATLANTIC AREA,,,NER,,,,,P Carter
84,830016,MERRIL CREEK RESERVIOR PUMPHOUSE INTAKE,Formal,,"ESA-S7, Formal",,,,,1983-09-14,,,,,,"Sturgeon, shortnose",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"DELAWARE RIVER, HARMONY, NJ",,,NER,,,,,P Carter
85,830017,Issuance of Research Permit - Photoidentification & Recording of Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1983-09-27,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,FPR,"Silver Spring, MD",,,,"Carter, P."
86,830019,LEASE SALE 83,Formal,Completed,"ESA-S7, Formal",,"Oct 6, 1983 12:00:00 AM",,,1983-10-06,,,,,,"Whale, sperm",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"NAVARIN BASIN, BERING SEA",,,AKR,,,,,P Carter
87,830021,LEASE SALE 87,Formal,Completed,"ESA-S7, Formal",,"Dec 19, 1983 12:00:00 AM",,,1983-12-19,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,BEAUFORT SEA,,,AKR,,,,,P Carter
88,830022,POLLUTANT DISCHARGE PERMIT FOR LEASE SALE 52,Formal,,"ESA-S7, Formal",,,,,1983-12-20,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,NORTH ATLANTIC AREA,,,NER,,,,,P Carter
89,840001,Population & Propogation Studies of Shortnoe Sturgeon,Formal,Completed,"ESA-S7, Formal",,"Nov 21, 1983 12:00:00 AM",,,1984-01-04,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Connecticut River,,,FPR,"Silver Spring, MD",,,,"Carter, P."
90,840002,OCS OIL & GAS LEASING,Formal,Completed,"ESA-S7, Formal",,"Jan 13, 1984 12:00:00 AM",,,1984-01-13,,,,,,"Whale, sperm",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF ALASKA/COOK INLET PLANNING AREA,,,AKR,,,,,P Montanio
91,840003,Photograph/Video Monitor Cetaceans,Formal,Completed,"ESA-S7, Formal",,,,,1984-01-19,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,,,,FPR,"Silver Spring, MD",,,,"Carter, P."
92,840004,Issuance of a Permit # 153A - Photo-Identification of Whales,Formal,Completed,"ESA-S7, Formal",,,,,1984-01-31,,,,,,"Whale, right, North Atlantic",Western Atlantic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Western North Atlantic,,,FPR,"Silver Spring, MD",,,,
93,840006,P79C - Biopsy of Gray Whales,Formal,Completed,"ESA-S7, Formal",,,,,1984-03-15,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Monterey,,,FPR,"Silver Spring, MD",,,,"Carter, P."
94,840007,Issuance of Research Permit #210A to Study Bowhead & Gray Whales,Formal,Completed,"ESA-S7, Formal",,,,,1984-03-20,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Beaufort, Chukchi, and the Bering Seas",,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
95,840008,Issuance of Permit 173A - Study of Shortnose Sturgeon,Formal,Completed,"ESA-S7, Formal",,,,,1984-03-20,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Savannah River,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
96,840009,"OCS Oil & Gas Lease Sale, Exploration Activities",Formal,Completed,"ESA-S7, Formal",,"Mar 21, 1984 12:00:00 AM",,,1984-03-21,,,,,,,,,May Affect - Likely to Adversely Affect,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,"ST. GEORGE, NORTH ALEUTIAN BASINS",,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
97,840011,Issuance of a Research Permit # 331 on Shortnose Sturgeon,Formal,Completed,"ESA-S7, Formal",,,,,1984-04-06,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Delaware River,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
98,840012,DESIGNATION OF 106-MILE OCEAN DUMP SITE,Formal,,"ESA-S7, Formal",,,,,1984-04-27,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,OFF CONTINENTAL SHELF - MID-ATLANTIC STATES,,,NER,,,,,P Montanio
99,840013,"Issuance of a Research Permit #340 to Observe, Photograph, & Record Humpback Whales",Formal,Completed,"ESA-S7, Formal",,,,,1984-05-15,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Alexander Archepelago,,,FPR,"Silver Spring, MD",,,,"Carter, P."
100,840014,Issuance of a Research Permit #129F to Study Bowhead Whales in Alaska,Formal,Completed,"ESA-S7, Formal",,,,,1984-05-30,,,,,,"Whale, bowhead",Western Arctic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Alaskan Waters,,,FPR,"Silver Spring, MD",,,,"Carter, P."
101,840016,LEASE SALE 90,Formal,,"ESA-S7, Formal",,,,,1984-07-05,,,,,,"Sturgeon, shortnose",Range-wide,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,SOUTH ATLANTIC PLANNING AREA,,,SER,,,,,P Carter
102,840017,INCINERATION OF CHEMICAL WASTES,Formal,,"ESA-S7, Formal",,,,,1984-07-05,,,,,,"Turtle, leatherback sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF MEXICO,,,SER,,,,,P Montanio
103,840018,OIL/GAS PRODUCTION,Formal,,"ESA-S7, Formal",,,,,1984-08-01,,,,,,"Whale, gray",Eastern North Pacific,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"SAGAVANIRKTOK RIVER, NORTH SLOPE BOROUGH, AK",,,AKR,,,,,P Carter
104,840019,Issuance of a Research Permit to Move Hawaiian Monk Seals to Johnston Atoll,Formal,Completed,"ESA-S7, Formal",,,,,1984-08-14,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Laysan Island,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
105,840021,LEASE SALE 111,Formal,,"ESA-S7, Formal",,,,,1984-10-18,,,,,,"Whale, fin",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,MID-ATLANTIC OCS,,,NER,,,,,P Montanio
106,840022,Issuance of Permit # 482 - Translocate Hawaiian Monk Seals,Formal,Completed,"ESA-S7, Formal",,,,,1984-11-06,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Layson Island & Johnston Atoll,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
107,840024,MAINTENANCE CHANNEL DREDGING,Formal,,"ESA-S7, Formal",,,,,1984-12-03,,,,,,"Whale, right, North Atlantic",Western Atlantic Stock,,,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,"PORT CANAVERAL, FL",,,SER,,,,,P Montanio
108,840025,LEASE SALE 100,Formal,,"ESA-S7, Formal",,,,,1984-12-21,,,,,,"Whale, gray",Eastern North Pacific,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"NORTON BASIN, BERING SEA",,,AKR,,,,,P Carter
109,850002,Study of Shortnose Sturgeon,Formal,Completed,"ESA-S7, Formal",,,,,1985-04-03,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Hudson River,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
110,850003,Issuance of a Research Permit to Take Skin Samples from Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1985-05-01,,,,,,"Whale, humpback",Western North Atlantic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Western North Atlantic,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
111,850004,Issuance of a Research Permit to Tag Gray Whales,Formal,Completed,"ESA-S7, Formal",,,,,1985-05-09,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Bering Sea,,,FPR,"Silver Spring, MD",,,,"Carter, P."
112,850005,Observe Marine Mammals,Formal,Completed,"ESA-S7, Formal",,,,,1985-05-16,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Gulf of Alaska,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
113,850006,Marine Corps Amphibious Assault Training Area,Formal,Completed,"ESA-S7, Formal",,"Sep 19, 1984 12:00:00 AM",1984-09-19,1985-01-31,1985-05-21,,,,,,"Turtle, green sea",Range-wide,,May Affect - Likely to Adversely Affect,"Jeopardy, No Adverse Mod",,"Jeopardy, No Adverse Mod",,,,,,,,,"LANAI, HI",,,FPR,"Silver Spring, MD",,,,F/PR2
114,850007,Bleach Mark Hawaiian Monk Seals,Formal,Completed,"ESA-S7, Formal",,,,,1985-05-22,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Kure Atoll,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
115,850008,Issuance of Researdh Permit on Acoustic Testing of Gray Whales,Formal,Completed,"ESA-S7, Formal",,,,,1985-05-22,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Bering Sea,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
116,850009,Issuance of Research Permit on Aerial & Vessel Surveys of Cetaceans,Formal,Completed,"ESA-S7, Formal",,,,,1985-05-22,,,,,,"Whale, sperm",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Worldwide,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
117,850010,OCS OIL & GAS DEVELOPMENT,Formal,Completed,"ESA-S7, Formal",,,,,1985-06-21,,,,,,"Turtle, olive ridley sea",Mexican Breeding Population,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"SANTA MARIA BASIN, CA",,,FPR,"Silver Spring, MD",,,,"Carter, P."
118,850011,Survey and Observe Bowhead Whales,Formal,Completed,"ESA-S7, Formal",,,,,1985-08-13,,,,,,"Whale, bowhead",Western Arctic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Beaufort Sea,,,FPR,"Silver Spring, MD",,,,"Ziobro, Robert"
119,850012,Survey and Observe Bowhead Whales,Formal,Completed,"ESA-S7, Formal",,,,,1985-08-13,,,,,,"Whale, bowhead",Western Arctic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Beaufort Sea,,,FPR,"Silver Spring, MD",,,,"Ziobro, Robert"
120,850014,DREDGING OF CANAVERAL HARBOR ENTRANCE CHANNEL,Formal,Completed,"ESA-S7, Formal",,,,,1985-08-27,,,,,,"Whale, right, North Atlantic",Western Atlantic Stock,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"CAPE CANAVERAL, FL",,,SER,,,,,P Montanio
121,850015,Modification to tagging of shortnose sturgeon,Formal,Completed,"ESA-S7, Formal",,,,,1985-09-04,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Delaware River,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
122,850017,Issuance of a Research Permit to Conduct Research on Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1985-09-19,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Maui,,,FPR,"Silver Spring, MD",,,,"Carter, P."
123,850018,"""TRENTON COMPLEX"" HIGHWAY INTERCHANGES",Formal,Completed,"ESA-S7, Formal",,,,,1985-09-20,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"TRENTON, NJ",,,FPR,"Silver Spring, MD",,,,"Carter, P."
124,850019,"""LANDMASS PROJECT""",Formal,Completed,"ESA-S7, Formal",,,,,1985-09-24,,,,,,"Turtle, loggerhead sea",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"CORPUS CHRISTI, TX",,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
125,850020,Issuance of a Research Permit to Take Skin Samples from Cetaceans,Formal,Completed,"ESA-S7, Formal",,,,,1985-11-01,,,,,,"Whale, sei",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Northwest Atlantic Ocean,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
126,850021,CONSTRUCTION OF A CAUSEWAY,Formal,Completed,"ESA-S7, Formal",,,,,1985-11-19,,,,,,"Turtle, hawksbill sea",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,EBEYE & NINGI AT KWAJALEIN ATOLL,,,FPR,"Silver Spring, MD",,,,"Carter, P."
127,860001,Issuance of a Research Permit to Conduct Research on Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1986-01-15,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,North Pacific Ocean,,,FPR,"Silver Spring, MD",,,,"Carter, P."
128,860002,Research on Hawaiian Monk Seals,Formal,Completed,"ESA-S7, Formal",,,,,1986-01-27,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Northwest Hawaiian Islands,,,FPR,"Silver Spring, MD",,,,F/PR2
129,860003,Observe and Photograph Marine Mammals,Formal,Completed,"ESA-S7, Formal",,,,,1986-02-07,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Washington State Waters,,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
130,860005,CONSTRUCTION OF LAGOONS AND A MARINA,Formal,Completed,"ESA-S7, Formal",,"Apr 5, 1985 12:00:00 AM",,,1986-02-20,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"WEST BEACH, OAHU, HI",,,FPR,"Silver Spring, MD",,,,"Montanio, Pat"
131,860006,Issuance of a Research Permit to Tag Shortnose Sturgeon,Formal,Completed,"ESA-S7, Formal",,,,,1986-03-27,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Connecticut River,,,FPR,"Silver Spring, MD",,,,"Lorenz, Mitch"
132,860008,Issuance of a Research Permit to Tag Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1986-04-01,,,,,,"Whale, humpback",Western North Atlantic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,East Coast of the U.S.,,,FPR,"Silver Spring, MD",,,,"Lorenz, Mitch"
133,860009,HAWAIIAN ISLANDS NATIONAL WILDLIFE REFUGE,Formal,Completed,"ESA-S7, Formal",,,,,1986-04-08,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,HAWAIIAN ISLANDS & SURROUNDING WATERS,,,FPR,"Silver Spring, MD",,,,"Ziobro, Robert"
134,860010,"Surveys of Cetaceans, Collection of Tissue",Formal,Completed,"ESA-S7, Formal",,,,,1986-04-29,,,,,,"Whale, sperm",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"New England Waters, Worldwide",,,FPR,"Silver Spring, MD",,,,"Carter, P."
135,860011,MODIFICATION TO THE GOM SHRIMP FMP,Formal,Completed,"ESA-S7, Formal",,,,,1986-05-02,,,,,,"Turtle, loggerhead sea",Range-wide,,,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,GULF OF MEXICO,,,SER,,,,,F/PR2
136,860012,Issuance of a Research Permit on Bowhead Whales,Formal,Completed,"ESA-S7, Formal",,,,,1986-05-06,,,,,,"Whale, bowhead",Western Arctic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Beaufort Sea,,,FPR,"Silver Spring, MD",,,,F/PR2
137,860013,Photograph and Tag Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1986-05-09,,,,,,"Whale, humpback",Western North Atlantic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"Cape Cod, Stellwagen Bank",,,FPR,"Silver Spring, MD",,,,"Kiraly, Sari"
138,860014,SAMPLING OF FISH AND GAME,Formal,Completed,"ESA-S7, Formal",,,,,1986-05-12,,,,,,"Sturgeon, shortnose",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Hudson River,,,FPR,"Silver Spring, MD",,,,"Kiraly, Sari"
139,860015,OCS OIL AND GAS DEVELOPMENT,Formal,Completed,"ESA-S7, Formal",,,,,1986-05-12,,,,,,"Turtle, olive ridley sea",Mexican Breeding Population,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"SANTA MARIA BASIN, CA",,,FPR,"Silver Spring, MD",,,,"Kiraly, Sari"
140,860016,Removal of Hawaiian Monk Seal,Formal,Completed,"ESA-S7, Formal",,,,,1986-05-15,,,,,,"Seal, Hawaiian monk",Hawaiian Islands,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Lisianski Island,,,FPR,"Silver Spring, MD",,,,"Kiraly, Sari"
141,860017,DEEP STRAGIGRAPHIC TEST,Formal,Completed,"ESA-S7, Formal",,,,,1986-05-27,,,,,,"Whale, gray",Eastern North Pacific,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"CHUKCHI SEA, AK",,,FPR,"Silver Spring, MD",,,,"Ziobro, Robert"
142,860018,OCS OIL & GAS DEVELOPMENT,Formal,Completed,"ESA-S7, Formal",,,,,1986-06-09,,,,,,"Turtle, olive ridley sea",Mexican Breeding Population,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"SANTA BARBARA CHANNEL, CA",,,FPR,"Silver Spring, MD",,,,"Kiraly, Sari"
143,860019,Northeast Multispecies Fishery - Fisheries Management Plan,Formal,Completed,"ESA-S7, Formal",,,,,1986-06-12,,,,,,"Turtle, green sea",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,U.S. New England Coast,,,FPR,"Silver Spring, MD",,,,"Carter, P."
144,860020,Breath Studies of Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1986-06-16,,,,,,"Whale, humpback",Western North Atlantic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Stellwagen Bank,,,FPR,"Silver Spring, MD",,,,"Carter, P."
145,860023,WAIVER OF STIPUATION 4 FOR LEASE SALE 87,Formal,Completed,"ESA-S7, Formal",,,,,1986-07-09,,,,,,"Whale, bowhead",Western Arctic Stock,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"EASTERN BEAUFORT SEA, AK",,,FPR,"Silver Spring, MD",,,,"Ziobro, Robert"
146,860024,Observe and Photograph Humpback Whales,Formal,Completed,"ESA-S7, Formal",,,,,1986-07-24,,,,,,"Whale, humpback",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,Hawaiian & Alaskan Waters,,,FPR,"Silver Spring, MD",,,,"Kiraly, Sari"
147,860025,SPACE SHUTTLE LAUNCHES AND LANDINGS,Formal,Completed,"ESA-S7, Formal",,,,,1986-08-01,,,,,,"Seal, Guadalupe fur",Range-wide,,May Affect - Likely to Adversely Affect,"No Jeopardy, No Adverse Mod",,May Affect - Likely to Adversely Affect,,,,,,,,,"VANDENBURG AFB, CA",,,FPR,"Silver Spring, MD",,,,"Lorenz, Mitch"
