,NMFS.Tracking.Number,Common.Name,Population.Name,Species Determination,Critical Habitat Determination,NEW Jeopardy,NEW Critical Habitat,,,,
914,FPR-2001-677,"Turtle, olive ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
915,FPR-2001-677,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
916,FPR-2001-677,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
917,FPR-2001-677,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
918,FPR-2001-678,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
919,FPR-2001-679,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
920,FPR-2001-679,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
921,FPR-2001-679,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
922,FPR-2001-679,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
923,FPR-2001-679,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
924,FPR-2001-680,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
925,FPR-2001-680,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
926,FPR-2001-680,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
927,FPR-2001-680,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
928,FPR-2001-680,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
929,FPR-2001-71,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
930,FPR-2001-71,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
931,FPR-2001-71,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
932,FPR-2001-71,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
933,FPR-2001-71,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
934,FPR-2001-71,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
935,FPR-2001-721,"Seal, Hawaiian monk",Hawaiian Islands Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
936,FPR-2001-822,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
937,FPR-2001-822,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
938,FPR-2001-822,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
939,FPR-2001-822,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
940,FPR-2001-822,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
941,FPR-2001-822,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
942,FPR-2001-855,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
943,FPR-2001-855,"Turtle, green sea",Florida Breeding Populations,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
944,FPR-2001-855,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
945,FPR-2001-855,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
946,FPR-2001-855,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
947,FPR-2001-935,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
948,FPR-2001-935,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
949,FPR-2001-935,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
950,FPR-2001-935,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
951,FPR-2001-935,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
952,FPR-2001-936,"Turtle, green sea",Mexican Breeding Population,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
953,FPR-2001-936,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
954,FPR-2001-936,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
955,FPR-2001-936,"Turtle, olive ridley sea",Mexican Breeding Population,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
956,FPR-2001-941,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
957,FPR-2001-941,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
958,FPR-2001-941,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
959,FPR-2001-941,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
960,FPR-2001-941,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
961,FPR-2001-955,"Whale, North Atlantic right",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
962,FPR-2001-955,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
963,FPR-2001-955,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
964,FPR-2001-955,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
965,FPR-2001-955,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
966,FPR-2001-955,"Seal, Hawaiian monk",Hawaiian Islands Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
967,FPR-2001-955,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
968,FPR-2001-955,"Whale, bowhead",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
969,FPR-2001-955,"Sea lion, Steller",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
970,FPR-2001-956,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
971,FPR-2001-956,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
972,FPR-2001-956,"Whale, southern right",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
973,FPR-2001-956,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
974,FPR-2001-956,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
975,FPR-2001-956,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
976,FPR-2001-957,"Sea lion, Steller",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
983,FPR-2001-959,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
984,FPR-2001-959,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
985,FPR-2001-959,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
986,FPR-2001-959,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
987,FPR-2001-959,"Whale, North Atlantic right",Western Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
988,FPR-2001-959,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
989,FPR-2001-960,,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
990,FPR-2002-1029,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
991,FPR-2002-1029,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
992,FPR-2002-1029,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
993,FPR-2002-1029,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
994,FPR-2002-1029,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
995,FPR-2002-1126,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
996,FPR-2002-1126,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
997,FPR-2002-1126,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
998,FPR-2002-1126,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
999,FPR-2002-1230,"Sea lion, Steller",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1000,FPR-2002-1238,,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1001,FPR-2002-1239,"Turtle, unidentified sea",NA,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1002,FPR-2002-1297,"Sea lion, Steller",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1003,FPR-2002-139,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1004,FPR-2002-1873,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1037,FPR-2002-1903,"Salmon, Chinook",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1038,FPR-2002-1903,Steelhead,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1072,FPR-2002-1907,"Salmon, sockeye",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1073,FPR-2002-1907,"Salmon, coho",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1074,FPR-2002-1907,"Salmon, chum",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1075,FPR-2002-1907,"Salmon, Chinook",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1076,FPR-2002-1907,Steelhead,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1077,FPR-2002-1934,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1078,FPR-2002-1937,"Sturgeon, shortnose",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1085,FPR-2002-565,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1086,FPR-2002-565,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1087,FPR-2002-565,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1088,FPR-2002-565,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1089,FPR-2002-611,"Whale, humpback",Western North Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1090,FPR-2002-885,"Sea lion, Steller",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1091,FPR-2002-9,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1092,FPR-2002-9,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1093,FPR-2002-9,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1094,FPR-2002-9,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1095,FPR-2002-9,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1096,FPR-2002-942,"Marine mammal, unidentified",NA,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1097,FPR-2003-1125,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1098,FPR-2003-1125,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1099,FPR-2003-1125,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1100,FPR-2003-1125,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1101,FPR-2003-1125,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1127,FPR-2003-1273,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1128,FPR-2003-1273,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1129,FPR-2003-1273,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1130,FPR-2003-1273,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1131,FPR-2003-1273,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1132,FPR-2003-1294,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1133,FPR-2003-1325,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1134,FPR-2003-1325,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1135,FPR-2003-1325,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1136,FPR-2003-1325,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1137,FPR-2003-1325,"Turtle, olive ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1138,FPR-2003-1327,,,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1139,FPR-2003-1483,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1140,FPR-2003-1483,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1141,FPR-2003-1483,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1142,FPR-2003-1483,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1143,FPR-2003-1483,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1144,FPR-2003-1491,"Whale, sperm",North Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1145,FPR-2003-1491,"Whale, sei",Nova Scotia Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1146,FPR-2003-1491,"Whale, North Atlantic right",Western Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1147,FPR-2003-1491,"Whale, humpback",Western North Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1148,FPR-2003-1491,"Whale, blue",Western North Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1149,FPR-2003-1491,"Whale, fin",Western North Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1150,FPR-2003-1491,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1151,FPR-2003-1491,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1152,FPR-2003-1491,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1153,FPR-2003-1491,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1154,FPR-2003-1491,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1155,FPR-2003-1492,"Turtle, unidentified sea",NA,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1156,FPR-2003-1492,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1157,FPR-2003-1492,"Whale, unidentified baleen",NA,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1158,FPR-2003-1534,"Abalone, white",,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1159,FPR-2003-1540,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1160,FPR-2003-1540,"Turtle, leatherback sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1161,FPR-2003-1540,"Turtle, loggerhead sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1162,FPR-2003-1540,"Whale, sperm",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1163,FPR-2003-1540,"Whale, fin",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1164,FPR-2003-1540,"Whale, humpback",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1165,FPR-2003-1540,"Whale, North Atlantic right",Western Atlantic Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1166,FPR-2003-1540,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1167,FPR-2003-1540,"Turtle, Kemp's ridley sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1168,FPR-2003-1540,"Whale, blue",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1169,FPR-2003-1541,"Turtle, green sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1170,FPR-2003-1541,"Turtle, hawksbill sea",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1171,FPR-2003-1541,"Whale, sperm",California/Oregon/Washington Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1172,FPR-2003-1541,"Whale, sei",Range-wide,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
1173,FPR-2003-1541,"Whale, humpback",Eastern North Pacific Stock,"No Jeopardy, No Adverse Mod",May Affect - Likely to Adversely Affect,,,,,,
